Series,number,title,ytURL
Revelation,38,The Antichrist and the Beast from Genesis to Revelation,https://www.youtube.com/watch?v=l8lw_7c7NDY&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=20&pp=iAQB
Revelation,39,The Fourth Beast in Daniel and Revelation,https://www.youtube.com/watch?v=pnBcEH35fdA&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=21&pp=iAQB
Revelation,40,The Fatal Head Wound of the Beast,https://www.youtube.com/watch?v=Tskix2NNhoE&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=22&pp=iAQB
Revelation,42,"The False Prophet, the Great Deception, and the Apostasy",https://www.youtube.com/watch?v=ePBXb7Zz7QA&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=23&pp=iAQB
Revelation,43,"The Number, Name, Mark, and Image of the Beast",https://www.youtube.com/watch?v=9Nqo9mH8c78&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=24&pp=iAQB
Revelation,44,The Consuming Fire and the Endurance of the Saints,https://www.youtube.com/watch?v=5Z4F9Pd_Qjk&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=25&pp=iAQB
Revelation,49,The Seven Bowls of Wrath and the Sea of Glass,https://www.youtube.com/watch?v=4ocuRXAdycs&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=26&pp=iAQB
Revelation,50,We are Not Appointed for Wrath,https://www.youtube.com/watch?v=58BdkHKsTnE&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=27&pp=iAQB
Revelation,51,Mystery Babylon the Great,https://www.youtube.com/watch?v=S5AINa65Xug&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=28&pp=iAQB
Revelation,52,Babylon the Great Has Fallen,https://www.youtube.com/watch?v=EJDA6sS874s&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=29&pp=iAQB
Revelation,53,Pharmakeia - Sorcery in the Last Days,https://www.youtube.com/watch?v=Rk9BAQ7bDwQ&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=30&pp=iAQB
Revelation,54,Is Rome the Great Harlot?,https://www.youtube.com/watch?v=SeVrrVGtuRU&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=31&pp=iAQB
Revelation,55,Do not be a Nimrod,https://www.youtube.com/watch?v=nK_jFOFtYXI&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=32&pp=iAQB
Revelation,56,Debunking a Jewish Antichrist,https://www.youtube.com/watch?v=S3YksPBmFBw&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=33&pp=iAQB
Revelation,57,Jerusalem the Bride & Babylon the Great Harlot,https://www.youtube.com/watch?v=IIY9DLi6vVw&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=34&pp=iAQB
Revelation,58,Debunking Jerusalem as the Great Harlot,https://www.youtube.com/watch?v=vP4KLJ6QkIg&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=35&pp=iAQB
Revelation,59,Is the United States Mystery Babylon?,https://www.youtube.com/watch?v=FqLcUg0L1xw&list=PL
