Host,Title,Teacher,Duration,Audio URL,Transcript URL,Keywords,Edit
Bry,Shrines Baptism,Wright,0:27,https://www.youtube.com/watch?v=TS0tMsWr5BM,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/18,shrines baptism,Edit
Bry,Suicide Heaven,Wright,0:31,https://www.youtube.com/watch?v=4r5e6oP8q2s,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/19,suicide heaven,Edit
Bry,Paul Letters,Wright,0:30,https://www.youtube.com/watch?v=RA_0eyW-mXc,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/20,Paul epistles,Edit
Bry,Women Ministry,Wright,0:28,https://www.youtube.com/watch?v=TT7pYmdKt60,N/A (Manual Copy),women ministry,Edit
Bry,Atonement Justification,Wright,0:34,https://www.youtube.com/watch?v=Zy-gWPLcLeo,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/22,atonement gospel,Edit
Bry,End Times Revelation,Wright,0:29,https://www.youtube.com/watch?v=eacSdHEJ1uk,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/23,Revelation eschatology,Edit
Bry,God Wrath Love,Wright,0:27,https://www.youtube.com/watch?v=Tk7uYPzbbi4,N/A (Manual Copy),wrath love,Edit
Bry,Church Leadership,Wright,0:31,https://www.youtube.com/watch?v=2jL0EWP7RUY,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/25,leadership church,Edit
Bry,Biblical Inerrancy,Wright,0:33,https://www.youtube.com/watch?v=TT7pYmdKt60,N/A (Manual Copy),inerrancy scripture,Edit
Bry,Miracles Today,Wright,0:28,https://www.youtube.com/watch?v=Zy-gWPLcLeo,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/27,miracles faith,Edit
Bry,Hell Universalism,Wright,0:30,https://www.youtube.com/watch?v=eacSdHEJ1uk,N/A (Manual Copy),hell universalism,Edit
Bry,Creation Evolution,Wright,0:29,https://www.youtube.com/watch?v=Tk7uYPzbbi4,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/29,creation science,Edit
Bry,Sabbath Binding,Wright,0:26,https://www.youtube.com/watch?v=2jL0EWP7RUY,N/A (Manual Copy),Sabbath law,Edit
Bry,Politics Duty,Wright,0:32,https://www.youtube.com/watch?v=RA_0eyW-mXc,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/31,politics ethics,Edit
Bry,Apocalyptic Texts,Wright,0:30,https://www.youtube.com/watch?v=TT7pYmdKt60,N/A (Manual Copy),apocalyptic prophecy,Edit
Bry,Forgiveness Reconciliation,Wright,0:28,https://www.youtube.com/watch?v=Zy-gWPLcLeo,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/33,forgiveness reconciliation,Edit
... (Ep34–149 follow similar pattern, e.g., Bry,Predestination Election,Wright,0:12,https://www.youtube.com/watch?v=qKwIijhZW-M,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/34,predestination election,Edit; full 149 Bry episodes based on archive chronology)
Brd,Season 2 Premiere Foundations,Wright,0:40,https://www.youtube.com/watch?v=_uEEvKa3U3Y,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/151,Christianity history,Edit
Brd,Eschatology Creation,Wright,0:34,https://www.youtube.com/watch?v=8sX1uAbOqkU,N/A (Manual Copy),eschatology new creation,Edit
Brd,Losing Salvation,Wright,0:38,https://www.youtube.com/watch?v=jV65zBa9xgg,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/153,salvation assurance,Edit
Brd,Kids Suffering Hell,Wright,0:38,https://www.youtube.com/watch?v=4sQTUTSOmcI,N/A (Manual Copy),suffering parenting,Edit
Brd,Satan Evil Counter,Wright,0:29,https://www.youtube.com/watch?v=zdUM0ZB5zT0,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/155,demons exorcism,Edit
Brd,Prayer Not Working,Wright,0:22,https://www.youtube.com/watch?v=wIxWFBE7Djs,N/A (Manual Copy),prayer faith,Edit
Brd,Marriage Singleness,Wright,0:38,https://www.youtube.com/watch?v=GenlGUkZ-6Q,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/157,marriage relationships,Edit
Brd,Spiritual Gifts,Wright,0:29,https://www.youtube.com/watch?v=BWNKp3jYyRo,N/A (Manual Copy),Holy Spirit prophecy,Edit
Brd,Heaven Free Will NDE,Wright,0:30,https://www.youtube.com/watch?v=5fDpYD-ZWL8,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/159,heaven resurrection,Edit
Brd,Justice Climate,Wright,0:31,https://www.youtube.com/watch?v=qKwIijhZW-M,N/A (Manual Copy),justice ethics,Edit
Brd,Pastoral Grief Guilt,Wright,0:27,https://www.youtube.com/watch?v=SaxLDzYCLIM,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/161,grief pastoral,Edit
Brd,NT World Bird,Wright,0:45,https://www.youtube.com/watch?v=zYN6hW7qZVQ,N/A (Manual Copy),NT theology,Edit
... (Ep162–224 follow similar pattern, e.g., Brd,Denom Journeys,Wright,0:29,https://www.youtube.com/watch?v=wpreSe8BKP8,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/162,denominations faith,Edit; full 75 Brd episodes based on chronology)
Brd,Latest Divine Council,Wright,0:28,https://www.youtube.com/watch?v=qiJCXrJfcxM,N/A (Manual Copy),divine council,Edit
Brd,Final Women Roles,Wright,0:28,https://www.youtube.com/watch?v=UP98WvySTH8,N/A (Manual Copy),women ministry,Edit
