Host,Title,Teacher,Duration,Audio URL,Transcript URL,Keywords,Edit
Mrn,Faith Under Fire,Richardson,0:55,https://www.youtube.com/watch?v=225uGs3DS0M,https://fai.online/mgbs-rapture-27,faith fire,Edit
Mrn,Rapture Myths Busted,Richardson,1:10,https://www.youtube.com/watch?v=T9z1PuTjNYY,YouTube built-in (Show transcript),rapture myths,Edit
Mrn,Saints Victory Assured,Richardson,0:50,https://www.youtube.com/watch?v=NniBmJrGuRk,https://fai.online/mgbs-rapture-29,victory assured,Edit
Mrn,Endurance Through Trials,Richardson,1:02,https://www.youtube.com/watch?v=IqjrId5WLjM,YouTube built-in (Show transcript),trials endurance,Edit
Mrn,Revelation Endurance,Richardson,1:08,https://www.youtube.com/watch?v=fuWMglxL2yA,https://fai.online/mgbs-rapture-31,Revelation endurance,Edit
Mrn,Final Rapture Q&A,Richardson,0:58,https://www.youtube.com/watch?v=KSDPDv0VaA0,YouTube built-in (Show transcript),rapture Q&A,Edit
Mrn,Saints Final Stand,Richardson,1:03,https://www.youtube.com/watch?v=5Z4F9Pd_Qjk,https://fai.online/mgbs-rapture-33,final stand,Edit
Mrn,Tribulation Joy,Richardson,1:12,https://www.youtube.com/watch?v=9Nqo9mH8c78,YouTube built-in (Show transcript),tribulation joy,Edit
Mrn,Rapture and Hope,Richardson,0:47,https://www.youtube.com/watch?v=RdoC1o4MVL4,https://fai.online/mgbs-rapture-35,rapture hope,Edit
Mrn,Endurance Legacy,Richardson,1:15,https://www.youtube.com/watch?v=jysruxw71MM,YouTube built-in (Show transcript),endurance legacy,Edit
Mrn,Series Wrap Rapture,Richardson,1:02,https://www.youtube.com/watch?v=6K2XLA-66hY,https://fai.online/mgbs-rapture-37,series wrap,Edit
Mrn,Final Endurance Call,Richardson,1:05,https://www.youtube.com/watch?v=9ifs4kGli0g,YouTube built-in (Show transcript),endurance call,Edit
Mrn,Rapture Saints Forever,Richardson,0:55,https://www.youtube.com/watch?v=225uGs3DS0M,https://fai.online/mgbs-rapture-39,saints forever,Edit
