Priority,Category,Author,Title,Subtitle,Why Essential,Amazon ASIN,Paperback Link,Kindle Link,Hardback Link,Estimated Price
33,Systematic Theology,Hoekema Anthony A.,Created in God's Image,,Theological anthropology - essential for understanding humanity,0802808883,https://www.amazon.com/dp/0802808883?tag=themissiontod-20,https://www.amazon.com/dp/B004IEA6G8?tag=themissiontod-20,,$25
34,Missiology,Pocock Michael & Van Rheenen Gailyn & McConnell Douglas,The Changing Face of World Missions,Engaging Contemporary Issues and Trends,Contemporary issues in global missions,0801031079,https://www.amazon.com/dp/0801031079?tag=themissiontod-20,,,$35
35,Hermeneutics,Stuart Douglas,Old Testament Exegesis,A Handbook for Students and Pastors,Practical guide to OT exegesis methodology,0664223168,https://www.amazon.com/dp/0664223168?tag=themissiontod-20,,,$25
36,Hermeneutics,Fee Gordon D.,New Testament Exegesis,A Handbook for Students and Pastors,Practical guide to NT exegesis methodology,0664257518,https://www.amazon.com/dp/0664257518?tag=themissiontod-20,,,$25
37,Missiology,Steffen Tom A. & Barnett Mike,Business as Mission,From Impoverished to Empowered,Understanding tentmaking and business as mission,1610977874,https://www.amazon.com/dp/1610977874?tag=themissiontod-20,,,$30
38,Systematic Theology,Demarest Bruce,The Cross and Salvation,The Doctrine of Salvation,In-depth study of soteriology,1581341024,https://www.amazon.com/dp/1581341024?tag=themissiontod-20,,,$35
39,Missiology,Jenkins Philip,The Next Christendom,The Coming of Global Christianity,Understanding the shift in global Christianity,0195368959,https://www.amazon.com/dp/0195368959?tag=themissiontod-20,https://www.amazon.com/dp/B004INGXUM?tag=themissiontod-20,,$20
40,Missiology,Escobar Samuel,The New Global Mission,The Gospel from Everywhere to Everyone,Understanding mission from the Majority World perspective,0830837639,https://www.amazon.com/dp/0830837639?tag=themissiontod-20,https://www.amazon.com/dp/B003XRELJO?tag=themissiontod-20,,$25
41,Hermeneutics,Beale G.K.,Handbook on the New Testament Use of the Old Testament,Exegesis and Interpretation,How NT authors used OT - essential for biblical theology,0801038960,https://www.amazon.com/dp/0801038960?tag=themissiontod-20,,,$25
42,Missiology,Livermore David A.,Cultural Intelligence,Improving Your CQ to Engage Our Multicultural World,Developing cultural intelligence for effective ministry,0801013143,https://www.amazon.com/dp/0801013143?tag=themissiontod-20,https://www.amazon.com/dp/B002TV07QW?tag=themissiontod-20,,$18
43,Systematic Theology,Bavinck Herman,Reformed Dogmatics Vol 1: Prolegomena,,Classic Reformed theology - comprehensive 4-volume set begins here,0801026555,https://www.amazon.com/dp/0801026555?tag=themissiontod-20,,,$50
44,Missiology,Adeney Miriam,Kingdom Without Borders,The Untold Story of Global Christianity,Stories of global Christian mission and movements,0830837833,https://www.amazon.com/dp/0830837833?tag=themissiontod-20,https://www.amazon.com/dp/B003XRELK8?tag=themissiontod-20,,$20
45,Missiology,Conn Harvie M. & Ortiz Manuel,Urban Ministry,The Kingdom the City and the People of God,Essential guide for urban cross-cultural ministry,0830815775,https://www.amazon.com/dp/0830815775?tag=themissiontod-20,https://www.amazon.com/dp/B004IK9E70?tag=themissiontod-20,,$35
46,Hermeneutics,Kaiser Walter C. Jr.,Toward an Exegetical Theology,Biblical Exegesis for Preaching and Teaching,From exegesis to exposition - bridging study and teaching,0801031648,https://www.amazon.com/dp/0801031648?tag=themissiontod-20,,,$25
47,Missiology,Tennent Timothy C.,Invitation to World Missions,A Trinitarian Missiology for the Twenty-first Century,Theological foundations for contemporary missions,0825425697,https://www.amazon.com/dp/0825425697?tag=themissiontod-20,https://www.amazon.com/dp/B00B4V2RKA?tag=themissiontod-20,,$35
48,Systematic Theology,Grudem Wayne,Bible Doctrine,Essential Teachings of the Christian Faith,Condensed version of Systematic Theology - more accessible,0310286700,https://www.amazon.com/dp/0310286700?tag=themissiontod-20,https://www.amazon.com/dp/B001FA0PVU?tag=themissiontod-20,,$30
49,Missiology,Adeney Frances S.,Graceful Evangelism,Christian Witness in a Complex World,Sensitive approach to evangelism in pluralistic contexts,0801048729,https://www.amazon.com/dp/0801048729?tag=themissiontod-20,,,$20
50,Missiology,Smith Alex G.,Buddhists Christians and the Gospel,Outreach to Buddhists,Understanding and reaching Buddhist contexts,1888514256,https://www.amazon.com/dp/1888514256?tag=themissiontod-20,,,$25
