16,Hermeneutics,Osborne Grant,The Hermeneutical Spiral,A Comprehensive Introduction to Biblical Interpretation,Advanced hermeneutics - seminary standard,0830828265,https://www.amazon.com/dp/0830828265,https://www.amazon.com/dp/B00CUMCMRE,,,$50

17,Systematic Theology,Berkhof Louis,Systematic Theology,,Classic Reformed systematic theology,0851513689,https://www.amazon.com/dp/0851513689,https://www.amazon.com/dp/B07DVKHB33,,,$45

18,Church History,Shelley Bruce,Church History in Plain Language,Updated 4th Edition,Popular accessible church history,1401676316,https://www.amazon.com/dp/1401676316,https://www.amazon.com/dp/B00CUMCMOK,,,$35

19,Church History,Noll Mark,Turning Points,Decisive Moments in the History of Christianity,Thematic approach to church history,0801039967,https://www.amazon.com/dp/0801039967,https://www.amazon.com/dp/B003XRELBC,,,$30

20,Biblical Theology,Beale G.K.,The Temple and the Church's Mission,A Biblical Theology of the Dwelling Place of God,Foundational work on temple theology throughout Scripture,0830826181,https://www.amazon.com/dp/0830826181,https://www.amazon.com/dp/B004IK9E7E,,,$35

21,Old Testament Studies,Brueggemann Walter,Theology of the Old Testament,Testimony Dispute Advocacy,Major OT theology from different perspective,0800662687,https://www.amazon.com/dp/0800662687,https://www.amazon.com/dp/B002QGNW6U,,,$50

22,New Testament Studies,Thielman Frank,Theology of the New Testament,A Canonical and Synthetic Approach,Comprehensive NT theology,0310269415,https://www.amazon.com/dp/0310269415,https://www.amazon.com/dp/B003XRELEX,,,$50

23,New Testament Studies,Marshall I. Howard,New Testament Theology,Many Witnesses One Gospel,Important NT theology,0830828265,https://www.amazon.com/dp/0830815708,https://www.amazon.com/dp/B004IK9E3U,,,$45

24,Biblical Theology,Hamilton James,God's Glory in Salvation through Judgment,A Biblical Theology,Whole-Bible biblical theology with unique perspective,1433532778,https://www.amazon.com/dp/1433532778,https://www.amazon.com/dp/B0CHJTVVMW,,,$40

25,New Testament Studies,Bock Darrell,Luke Volume 1 1:1-9:50,Baker Exegetical Commentary,Standard commentary on Luke - fills gap in commentaries,0801026083,https://www.amazon.com/dp/0801026083,,,,$55

26,New Testament Studies,Bock Darrell,Luke Volume 2 9:51-24:53,Baker Exegetical Commentary,Completes Luke commentary,0801020328,https://www.amazon.com/dp/0801020328,,,,$55

27,Hermeneutics,Klein William & Blomberg Craig & Hubbard Robert,Introduction to Biblical Interpretation,Third Edition,Comprehensive hermeneutics textbook,0310524555,https://www.amazon.com/dp/0310524555,https://www.amazon.com/dp/B00DDUZ7E4,,,$50

28,Old Testament Studies,House Paul,Old Testament Theology,,Comprehensive OT theology,0830815996,https://www.amazon.com/dp/0830815996,https://www.amazon.com/dp/B004IK9DSU,,,$45

29,Old Testament Studies,Childs Brevard,Introduction to the Old Testament as Scripture,,Canonical approach to OT introduction,0800696387,https://www.amazon.com/dp/0800696387,,,,$50

30,New Testament Studies,Witherington Ben,The Indelible Image,The Theological and Ethical Thought World of the New Testament,NT theology from socio-rhetorical perspective,0830838899,https://www.amazon.com/dp/0830838899,https://www.amazon.com/dp/B003XRELET,,,$45

31,Systematic Theology,Horton Michael,The Christian Faith,A Systematic Theology for Pilgrims on the Way,Contemporary Reformed systematic theology,0310286042,https://www.amazon.com/dp/0310286042,https://www.amazon.com/dp/B004W61BNO,,,$55

32,Biblical Theology,Goldsworthy Graeme,Gospel-Centered Hermeneutics,Foundations and Principles of Evangelical Biblical Interpretation,Biblical theological approach to hermeneutics,0830851801,https://www.amazon.com/dp/0830851801,https://www.amazon.com/dp/B00JPVWCFW,,,$35

33,Old Testament Studies,Goldingay John,Old Testament Theology Volume 1,Israel's Gospel,Three-volume OT theology - volume 1,0830838937,https://www.amazon.com/dp/0830838937,https://www.amazon.com/dp/B003XRELMY,,,$50

34,Church History,Cairns Earle,Christianity Through the Centuries,A History of the Christian Church,Classic church history textbook,0310208122,https://www.amazon.com/dp/0310208122,,,,$45

35,New Testament Studies,Carson D.A.,The Gospel according to John,Pillar New Testament Commentary,Standard John commentary,0851117481,https://www.amazon.com/dp/0851117481,https://www.amazon.com/dp/B002TWIV5I,,,$50

36,New Testament Studies,Moo Douglas,The Letter to the Romans,Second Edition NICNT,Standard Romans commentary,0802837433,https://www.amazon.com/dp/0802837433,https://www.amazon.com/dp/B003XRELGK,,,$55

37,Old Testament Studies,Wenham Gordon,Genesis 1-15,Word Biblical Commentary,Standard Genesis commentary,0310521700,https://www.amazon.com/dp/0310521700,,,,$45

38,Old Testament Studies,Wenham Gordon,Genesis 16-50,Word Biblical Commentary,Completes Genesis commentary,1418508918,https://www.amazon.com/dp/1418508918,,,,$45

39,Hermeneutics,Dockery David,Biblical Interpretation Then and Now,Contemporary Hermeneutics in the Light of the Early Church,History of interpretation,0801020832,https://www.amazon.com/dp/0801020832,,,,$35

40,Biblical Theology,Gentry Peter & Wellum Stephen,Kingdom through Covenant,A Biblical-Theological Understanding of the Covenants,Major work on covenant theology,1433533367,https://www.amazon.com/dp/1433533367,https://www.amazon.com/dp/B07GJWPYXF,https://www.amazon.com/dp/1433533359,$50

41,Systematic Theology,Letham Robert,Systematic Theology,,Contemporary systematic theology,1433532719,https://www.amazon.com/dp/1433532719,https://www.amazon.com/dp/B07QR2B15P,,,$55

42,New Testament Studies,Bruce F.F.,The Canon of Scripture,,Essential work on canon formation,0830812520,https://www.amazon.com/dp/0830812520,,,,$30

43,Church History,Schaff Philip,History of the Christian Church Vol 1,Apostolic Christianity AD 1-100,Classic comprehensive church history - volume 1,1602062412,https://www.amazon.com/dp/1602062412,https://www.amazon.com/dp/B002RKSTUM,,,$35

44,Old Testament Studies,Stuart Douglas,Exodus,New American Commentary,Standard Exodus commentary,0805401024,https://www.amazon.com/dp/0805401024,,,,$40

45,New Testament Studies,Schreiner Thomas,Romans,Baker Exegetical Commentary,Detailed exegetical Romans commentary,0801026539,https://www.amazon.com/dp/0801026539,,,,$55

46,Biblical Theology,Williamson Paul,Sealed with an Oath,Covenant in God's Unfolding Purpose,Biblical theology of covenant,0830838503,https://www.amazon.com/dp/0830838503,https://www.amazon.com/dp/B003XRELOC,,,$35

47,New Testament Studies,Keener Craig,The Gospel of John,A Commentary (2 volumes),Massive detailed John commentary,1565634381,https://www.amazon.com/dp/1565634381,,,,$120

48,Old Testament Studies,Block Daniel,The Book of Ezekiel Chapters 1-24,NICOT,Standard Ezekiel commentary volume 1,0802825362,https://www.amazon.com/dp/0802825362,,,,$50

49,Old Testament Studies,Block Daniel,The Book of Ezekiel Chapters 25-48,NICOT,Completes Ezekiel commentary,0802825370,https://www.amazon.com/dp/0802825370,,,,$50

50,New Testament Studies,Mounce Robert,The Book of Revelation,NICNT,Standard Revelation commentary,0802825370,https://www.amazon.com/dp/0802825370,,,,$45

51,Systematic Theology,Frame John,Systematic Theology,An Introduction to Christian Belief,Triperspectival systematic theology,0875525555,https://www.amazon.com/dp/0875525555,https://www.amazon.com/dp/B004HO5BLE,,,$50

52,Biblical Theology,Dumbrell William,Covenant and Creation,A Theology of the Old Testament Covenants,Biblical theology of OT covenants,0853644624,https://www.amazon.com/dp/0853644624,,,,$35

53,New Testament Studies,France R.T.,The Gospel of Matthew,NICNT,Standard Matthew commentary,0802825095,https://www.amazon.com/dp/0802825095,https://www.amazon.com/dp/B003XRELEC,,,$55

54,Old Testament Studies,Harrison R.K.,Introduction to the Old Testament,,Comprehensive OT introduction,0801047439,https://www.amazon.com/dp/0801047439,,,,$50

55,Church History,Latourette Kenneth Scott,A History of Christianity Volume 1,Beginnings to 1500,Classic comprehensive church history,0060649526,https://www.amazon.com/dp/0060649526,,,,$40

56,Church History,Latourette Kenneth Scott,A History of Christianity Volume 2,1500 to Present,Completes comprehensive church history,0060649534,https://www.amazon.com/dp/0060649534,,,,$40

57,New Testament Studies,Osborne Grant,Revelation,Baker Exegetical Commentary,Detailed Revelation commentary,0801026849,https://www.amazon.com/dp/0801026849,,,,$55

58,Old Testament Studies,Merrill Eugene,Kingdom of Priests,A History of Old Testament Israel,OT history textbook,0801021987,https://www.amazon.com/dp/0801021987,,,,$40

59,New Testament Studies,Hagner Donald,Matthew 1-13,Word Biblical Commentary,Standard Matthew commentary volume 1,0849902339,https://www.amazon.com/dp/0849902339,,,,$45

60,New Testament Studies,Hagner Donald,Matthew 14-28,Word Biblical Commentary,Completes Matthew commentary,0849902347,https://www.amazon.com/dp/0849902347,,,,$45

61,Biblical Theology,Saucy Robert & Blaising Craig (eds),Dispensationalism Israel and the Church,The Search for Definition,Important work on dispensationalism,0310340411,https://www.amazon.com/dp/0310340411,,,,$35

62,Systematic Theology,Reymond Robert,A New Systematic Theology of the Christian Faith,Second Edition,Reformed systematic theology,0785252509,https://www.amazon.com/dp/0785252509,,,,$60

63,New Testament Studies,Wright N.T.,Jesus and the Victory of God,Christian Origins and the Question of God Vol 2,Historical Jesus study - fills gap in your Wright collection,0800626826,https://www.amazon.com/dp/0800626826,https://www.amazon.com/dp/B00B1VG660,,,$50

64,Old Testament Studies,Kidner Derek,Genesis,Tyndale Old Testament Commentary,Accessible Genesis commentary,0830842004,https://www.amazon.com/dp/0830842004,,,,$20

65,Old Testament Studies,Kidner Derek,Psalms 1-72,Tyndale Old Testament Commentary,Accessible Psalms commentary volume 1,0830842012,https://www.amazon.com/dp/0830842012,,,,$20

6,Old Testament Studies,Kidner Derek,Psalms 73-150,Tyndale Old Testament Commentary,Completes Psalms commentary,0830842020,https://www.amazon.com/dp/0830842020,,,,$20

67,New Testament Studies,Morris Leon,The Gospel according to Matthew,Pillar New Testament Commentary,Classic Matthew commentary,0851118151,https://www.amazon.com/dp/0851118151,,,,$45

68,Church History,Pelikan Jaroslav,The Christian Tradition Volume 1,The Emergence of the Catholic Tradition 100-600,Scholarly comprehensive church history,0226653714,https://www.amazon.com/dp/0226653714,,,,$40

69,Biblical Theology,Sailhamer John,The Meaning of the Pentateuch,Revelation Composition and Interpretation,Unique approach to Pentateuch as biblical theology,0830838635,https://www.amazon.com/dp/0838635,https://www.amazon.com/dp/B004IK9E0S,,,$45

70,Old Testament Studies,Alexander T. Desmond,From Paradise to the Promised Land,An Introduction to the Pentateuch,Excellent Pentateuch introduction,0801039983,https://www.amazon.com/dp/0801039983,https://www.amazon.com/dp/B003XRELOE,,,$35

71,Old Testament Studies,Bullock C. Hassell,An Introduction to the Old Testament Prophetic Books,,Standard introduction to prophets,0802441548,https://www.amazon.com/dp/0802441548,,,,$35

72,Old Testament Studies,Howard David Jr,An Introduction to the Old Testament Historical Books,,Standard introduction to historical books,0802443664,https://www.amazon.com/dp/0802443664,,,,$40

73,New Testament Studies,Keener Craig,Acts,An Exegetical Commentary (4 volumes),Most comprehensive Acts commentary available,0801048664,https://www.amazon.com/dp/0801048664,,,,$200

74,Biblical Theology,Hafemann Scott & House Paul (eds),Central Themes in Biblical Theology,Mapping Unity in Diversity,Collection of essays on biblical theology,0801027314,https://www.amazon.com/dp/0801027314,,,,$40

75,Systematic Theology,Demarest Bruce,The Cross and Salvation,The Doctrine of Salvation,Volume on soteriology from Foundations of Evangelical Theology series,1581341024,https://www.amazon.com/dp/1581341024,,,,$35
